,Bowler,Matches,Runs,4,6,Wickets,Overs,balls
1470,AJ Ball,1,8,1,0,0,0.2,2.0
1471,KHD Barker,3,100,9,5,4,9.0,54.0
1472,J Harrison,1,47,7,1,2,0.4,4.0
1473,CAJ Morris,1,26,0,2,2,1.1,7.0
1474,JAR Harris,2,44,5,1,1,3.5,23.0
1475,WRS Gidman,1,55,6,2,0,0.4,4.0
1476,BGF Green,1,12,2,0,0,0.2,2.0
1477,ORT Sale,1,38,6,1,0,0.5,5.0
1478,DM Bess,1,31,1,2,1,0.4,4.0
1479,L Wood,1,22,5,0,0,0.2,2.0
1480,AG Salter,1,15,3,0,0,0.1,1.0
1481,MJ Waite,1,4,0,0,1,0.3,3.0
1482,H Deol,1,14,1,0,0,0.2,2.0
1483,Kamran Shazad,9,265,35,4,10,39.0,234.0
1484,Krishna Chandran,10,380,32,9,8,59.5,359.0
1485,Mohammad Shahzad (2),30,747,68,22,26,105.2,632.0
1486,Fayyaz Ahmed,6,210,15,7,7,38.5,233.0
1487,Haseeb Amjad,35,817,92,16,56,151.4,910.0
1488,Irfan Ahmed,27,654,59,20,29,107.2,644.0
1489,Nadeem Ahmed,57,1703,150,41,96,350.4,2104.0
1490,Ehsan Nawaz,15,420,57,5,16,94.3,567.0
1491,Mirwais Ashraf,53,1374,130,17,62,314.3,1887.0
1492,Usman Ghani,2,29,4,0,0,2.4,16.0
1493,M Ansari,39,1189,152,14,50,224.3,1347.0
1494,RJ Ranpura,29,662,73,14,39,151.3,909.0
1495,Amir Ali,24,542,48,18,24,123.5,743.0
1496,Zeeshan Siddiqui,5,58,7,0,6,10.4,64.0
1497,M Alam,8,158,15,0,11,47.3,285.0
1498,SP Gauchan,51,1078,57,39,67,294.5,1769.0
1499,Aarif Sheikh,2,68,6,1,5,9.4,58.0
1500,JPR Lamsam,3,41,4,2,0,3.1,19.0
1501,Irfan Sajid,2,34,1,1,0,5.3,33.0
1502,Khurram Khan,20,497,28,7,19,85.5,515.0
1503,S Navaratnam,14,405,49,3,14,93.2,560.0
1504,Nasir Shafiq,14,379,43,3,11,97.1,583.0
1505,Khizar Hayat,23,643,51,13,30,164.3,987.0
1506,Hassan Ghulam,16,471,46,8,29,108.3,651.0
1507,Shahrulnizam Yusof,24,657,45,18,33,148.4,892.0
1508,RK Pradhan,1,22,1,1,1,1.0,6.0
1509,HB Ralalage,3,94,14,0,4,15.1,91.0
1510,MD Craig,15,2321,259,48,52,580.4,3484.0
1511,Imran Khan (2),9,834,122,1,28,232.5,1397.0
1512,Mohammad Talha,7,613,86,6,13,129.2,776.0
1513,Ehsan Adil,9,477,70,2,9,88.2,530.0
1514,KD Mills,157,5877,673,108,241,1250.4,7504.0
1515,Ahmed Shehzad,12,177,11,3,2,27.3,165.0
1516,MJ Guptill,27,399,36,8,12,91.0,546.0
1517,BM Wheeler,10,413,55,8,16,60.0,360.0
1518,AW Mathieson,1,39,6,0,1,0.5,5.0
1519,DA Warner,18,275,31,2,4,56.4,340.0
1520,JF Mooney,45,1287,136,20,59,247.5,1487.0
1521,RJW Topley,16,555,60,14,22,95.3,573.0
1522,Ziaur Rahman,19,485,47,10,17,108.1,649.0
1523,RV Uthappa,1,0,0,0,0,0.2,2.0
1524,Parvez Rasool,13,359,29,14,7,39.1,235.0
1525,Abdur Razzak,159,6474,542,131,231,1512.5,9077.0
1526,Sohag Gazi,39,2586,208,54,66,716.2,4298.0
1527,RMS Eranga,38,2784,340,17,83,748.1,4489.0
1528,KTGD Prasad,47,3364,419,21,104,833.5,5003.0
1529,HMRKB Herath,146,11614,850,187,447,3824.2,22946.0
1530,KDK Vithanage,6,146,17,0,1,30.5,185.0
1531,Abdur Rehman,57,3771,293,77,138,1280.3,7683.0
1532,TM Dilshan,246,5744,340,98,140,1306.1,7837.0
1533,SMA Priyanjan,14,223,17,2,7,42.3,255.0
1534,Fawad Alam,18,461,24,11,11,78.1,469.0
1535,UWMBCA Welegedara,31,2584,363,10,73,687.2,4124.0
1536,Abid Mushtaq,2,34,0,1,1,4.4,28.0
1537,Faizan Ali,4,68,11,0,5,18.0,108.0
1538,Abdullah Akhunzada,3,61,3,1,5,15.4,94.0
1539,Saad Khalid,4,98,11,2,6,22.3,135.0
1540,Abdul Jabar,4,118,10,2,7,27.1,163.0
1541,Mohamed Rifkas,1,29,2,1,1,1.3,9.0
1542,Hisham Mirza,6,142,13,1,7,28.5,173.0
1543,Abhiraj Singh,21,616,46,22,44,141.5,851.0
1544,M Dharmichand,21,539,50,16,32,152.0,912.0
1545,AD de Lange,3,39,2,2,0,6.2,38.0
1546,A Goenka,4,98,7,2,2,12.0,72.0
1547,C Janik,10,239,20,5,8,49.4,298.0
1548,K Penjor,3,123,10,8,2,9.1,55.0
1549,S Tobgay,4,193,14,9,2,27.2,164.0
1550,SR Gurung,1,18,3,0,0,0.4,4.0
1551,P Wangdi,5,224,19,10,1,23.0,138.0
1552,T Wangchuk,4,196,19,7,8,19.4,118.0
1553,J Singye,6,245,23,8,6,31.0,186.0
1554,Ibrarul Haq,7,172,16,6,13,31.2,188.0
1555,Nadeem Javed,6,175,10,10,8,26.0,156.0
1556,Abdullah Qureshi,1,13,2,0,1,0.5,5.0
1557,Akram Aslam,2,48,4,0,2,11.0,66.0
1558,Faheem Afrad,6,161,15,6,7,21.5,131.0
1559,Mohammad Abdullah,1,17,1,0,0,1.0,6.0
1560,Ahmed Jamaal,2,30,4,1,1,3.3,21.0
1561,Mihusan Hamid,5,73,1,1,3,15.1,91.0
1562,Abdullah Shahid,3,65,4,3,4,8.0,48.0
1563,Ahmed Hassan,6,111,7,5,5,21.2,128.0
1564,Mudassar Ali,1,11,0,1,2,1.0,6.0
1565,Yaser Sadeq,3,42,3,0,1,12.5,77.0
1566,Anasim Khan,2,13,1,0,0,3.0,18.0
1567,Adil Hanif,3,93,8,2,4,16.2,98.0
1568,Sameer Minhas,2,39,1,2,0,3.4,22.0
1569,Huzaifa Akram,2,58,3,3,2,11.3,69.0
1570,Adnan Butt,2,28,1,1,0,3.3,21.0
1571,L Yonten,4,105,10,6,3,15.3,93.0
1572,S Appusamy,4,88,10,2,3,12.3,75.0
1573,Saad Janjua,17,322,37,2,22,76.2,458.0
1574,DK Subba,3,63,6,1,5,20.4,124.0
1575,Suman Pradhan,1,25,0,4,0,0.2,2.0
1576,Shahbaz Rasheed,2,32,6,0,1,4.0,24.0
1577,Afzal Saleem,4,96,7,3,6,11.4,70.0
1578,Rashid Hussain,1,10,1,0,1,1.5,11.0
1579,Mirza Baig,2,26,2,1,2,5.1,31.0
1580,Mirza Yaqoob,1,26,3,0,1,0.5,5.0
1581,J Chaturanga,1,12,1,1,0,0.1,1.0
1582,Ubaid Minhas,1,5,1,0,0,0.3,3.0
1583,Junaid Niazi,1,33,3,0,3,1.4,10.0
1584,A Khan,12,348,35,4,17,103.3,621.0
1585,A Bulow,3,99,12,2,3,18.1,109.0
1586,Aftab Ahmed (2),21,540,69,8,24,110.2,662.0
1587,Kamran Mahmood,8,152,8,10,5,17.1,103.0
1588,Yasir Iqbal,14,272,22,11,11,39.4,238.0
1589,V Pennazza,14,296,29,3,19,72.2,434.0
1590,CS Sandri,20,650,41,19,30,116.4,700.0
1591,WTN Fernando,3,49,5,0,1,6.5,41.0
1592,MGSM Fernando,8,133,6,2,4,24.4,148.0
1593,DA Marage,9,192,9,6,5,33.3,201.0
1594,DG Crowley,20,549,39,13,20,111.2,668.0
1595,Arif Hussain,3,62,5,1,1,9.3,57.0
1596,Mohammad Shukri,3,66,3,1,1,12.5,77.0
1597,CJ Bodenstein,12,264,27,6,18,45.1,271.0
1598,NAT Watkins,20,595,45,14,30,129.3,777.0
1599,PW Gough,6,78,2,4,0,13.3,81.0
1600,TE Minty,3,86,11,1,6,17.0,102.0
1601,SSJ Dewhurst,4,42,4,0,0,6.5,41.0
1602,RB Javed,11,209,20,5,13,54.0,324.0
1603,CR Kumarage,3,12,1,0,2,2.0,12.0
1604,Zishan Shah,2,32,4,0,3,3.0,18.0
1605,JN Duckett,2,29,1,1,0,4.1,25.0
1606,A Mutreja,4,61,6,1,1,9.5,59.0
1607,L di Giglio,8,244,31,2,6,48.1,289.0
1608,NP Rodrigo,1,22,1,0,0,1.0,6.0
1609,Sufyan Mehmood,8,111,10,3,6,33.0,198.0
1610,Jatinder Singh,4,43,4,0,2,6.2,38.0
1611,AB de Villiers,10,192,17,5,7,29.4,178.0
1612,PHT Kaushal,8,1099,91,13,27,257.4,1546.0
1613,HDRL Thirimanne,9,141,12,1,3,30.2,182.0
1614,DAJ Bracewell,56,3733,463,42,117,979.5,5879.0
1615,HD Rutherford,1,2,0,0,0,0.1,1.0
1616,SMSM Senanayake,80,2698,187,72,97,530.4,3184.0
1617,Younis Khan,31,469,48,4,11,118.0,708.0
1618,BAW Mendis,149,6755,510,119,293,1659.2,9956.0
1619,DPMD Jayawardene,9,121,8,3,3,26.4,160.0
1620,M de Lange,17,823,99,19,33,153.4,922.0
1621,RJ Peterson,86,3475,259,109,129,766.0,4596.0
1622,M Vijay,18,255,24,2,2,52.5,317.0
1623,JL Hunter,26,487,59,3,25,103.4,622.0
1624,Qanita Jalil,31,395,49,0,16,96.0,576.0
1625,Sania Khan,18,328,34,4,20,60.0,360.0
1626,MM Lanning,5,57,7,0,2,15.3,93.0
1627,Maham Tariq,9,290,41,2,7,51.0,306.0
1628,TD Smartt,33,593,69,5,33,145.0,870.0
1629,SL Quintyne,28,544,46,2,33,112.5,677.0
1630,SL Munroe,13,240,26,3,7,53.1,319.0
1631,T Panyangara,59,2797,319,53,91,624.0,3744.0
1632,SW Masakadza,27,1500,154,32,50,324.2,1946.0
1633,P Utseya,133,5220,346,106,129,1115.3,6693.0
1634,T Kamungozi,15,619,54,11,13,126.2,758.0
1635,N M'shangwe,12,778,69,13,16,187.2,1124.0
1636,Y Fourie,15,268,24,6,17,62.5,377.0
1637,MM Letsoalo,43,780,87,6,33,187.0,1122.0
1638,E Chigumbura,122,3635,386,58,109,767.3,4605.0
1639,HAM Samuddika,22,497,39,3,19,103.4,622.0
1640,NND de Silva,8,176,21,3,5,31.4,190.0
1641,Shahadat Hossain,63,3883,504,29,78,867.1,5203.0
1642,Jubair Hossain,9,624,63,9,22,127.2,764.0
1643,J Nyumbu,21,1091,68,32,24,241.0,1446.0
1644,Shuvagata Hom,13,596,47,8,11,146.1,877.0
1645,BB Chari,2,12,2,0,0,1.2,8.0
1646,Arafat Sunny,27,841,67,20,44,167.3,1005.0
1647,V Sibanda,6,172,14,2,2,22.1,133.0
1648,T Maruma,8,199,16,5,6,34.3,207.0
1649,Abul Hasan,11,628,81,6,5,120.4,724.0
1650,IJL Trott,38,564,54,2,9,148.0,888.0
1651,J Blackwood,9,181,15,4,2,42.1,253.0
1652,SJ Benn,91,5706,466,95,148,1607.3,9645.0
1653,V Permaul,13,1053,110,20,26,258.5,1553.0
1654,R Sangsoma,9,145,12,1,2,25.5,155.0
1655,W Liengprasert,3,24,1,0,4,8.3,51.0
1656,N Chantam,5,78,8,0,11,17.1,103.0
1657,Nur Aishah,4,40,2,0,0,9.1,55.0
1658,Jannadiah Halim,5,75,4,0,1,13.3,81.0
1659,Rewina Mohammad,2,15,0,0,0,4.1,25.0
1660,S Khadka,2,16,0,0,2,5.1,31.0
1661,RC Belbashi,2,22,0,0,2,4.0,24.0
1662,S Magar,2,27,2,0,4,5.0,30.0
1663,Karuna Bhandari,2,17,2,0,5,4.3,27.0
1664,Nary Thapa,1,3,0,0,1,0.5,5.0
1665,R Rawal,1,6,0,0,0,0.3,3.0
1666,Nadhirah Nasruddin,1,5,0,0,1,0.4,4.0
1667,Yebin Ka,1,15,0,0,0,1.2,8.0
1668,Jinseup Park,1,18,1,0,1,1.2,8.0
1669,Inyeong Oh,1,11,0,0,1,1.0,6.0
1670,Ahram Jeong,1,17,0,0,1,1.0,6.0
1671,Chan Sau Har,2,20,1,0,3,5.0,30.0
1672,IA Gidwani,2,17,1,0,1,1.3,9.0
1673,KK Gill,1,9,0,0,4,1.2,8.0
1674,KLG Li,2,35,3,0,4,4.2,26.0
1675,Zhou Haijie,3,30,1,0,3,8.4,52.0
1676,Yu Miao,3,23,2,0,2,4.0,24.0
1677,X Ruan,4,41,4,0,0,8.3,51.0
1678,K Ota,4,33,5,0,1,9.0,54.0
1679,A Nakayama,4,38,4,0,3,10.2,62.0
1680,S Kubota,3,50,5,0,2,7.1,43.0
1681,Hung Ying Ho,1,7,1,0,0,0.3,3.0
1682,Sumaiya Siddiqi,20,333,39,1,17,81.2,488.0
1683,HML Madushani,1,7,1,0,0,0.1,1.0
1684,Faruq Hakimin,3,48,2,1,7,9.0,54.0
1685,Kyungsik Kim,3,59,5,1,3,6.5,41.0
1686,Jiwon Choi,3,69,9,0,2,7.4,46.0
1687,Hongki Kim,1,8,1,0,0,0.1,1.0
1688,Taekwan Park,3,28,1,0,7,7.0,42.0
1689,Inho Cha,3,55,5,1,1,6.5,41.0
1690,Hwanhee Lee,3,77,5,2,4,7.2,44.0
1691,Sagar Pun,34,641,38,17,29,133.2,800.0
1692,Alkandari Abdulrahman,1,13,2,0,0,1.0,6.0
1693,Bastaki Mahmoud,1,8,2,0,1,0.1,1.0
1694,Zhang Peng,2,16,1,0,0,1.3,9.0
1695,Zhang Yufei,2,29,3,0,0,3.1,19.0
1696,Wang Jing,2,26,2,0,1,2.2,14.0
1697,Zhong Wenyi,2,27,3,0,4,2.2,14.0
1698,H Min Jian,2,15,1,0,1,2.1,13.0
1699,Song Yang Yang,1,17,0,2,0,0.1,1.0
1700,B Karki,4,103,8,4,9,22.4,136.0
1701,Ahmed Faiz,1,8,0,1,0,0.1,1.0
1702,MS Chapman,7,115,10,3,3,12.4,76.0
1703,A Mehmood,5,73,7,0,2,10.1,61.0
1704,LHD Dilhara,4,58,6,0,3,14.2,86.0
1705,CKB Kulasekara,7,180,17,0,3,45.3,273.0
1706,PC de Silva,9,274,16,6,10,58.0,348.0
1707,RLB Rambukwella,4,69,2,3,2,9.0,54.0
1708,Mohammad Mujtaba,1,8,0,0,0,0.3,3.0
1709,Karim Sadiq,36,567,36,20,18,98.3,591.0
1710,M Nasim Baras,3,31,2,1,4,4.5,29.0
1711,Fazal Rahman,1,32,2,0,1,0.4,4.0
1712,AAS Silva,1,14,0,0,1,0.5,5.0
1713,JJC Lawson,3,77,11,1,5,14.3,87.0
1714,Usman Shuja,12,309,39,3,22,79.1,475.0
1715,Muhammad Ghous,22,594,44,15,21,125.3,753.0
1716,K Ganesh,12,285,20,6,16,58.0,348.0
1717,D Talbot,2,42,6,2,1,2.1,13.0
1718,J Sebanja,15,341,32,8,15,77.4,466.0
1719,DK Arinaitwe,16,499,35,11,21,111.4,670.0
1720,Mohamed Shoib,5,92,12,3,2,15.4,94.0
1721,AE Paraam,8,130,10,3,6,32.0,192.0
1722,Adil Bhatti,8,147,17,1,6,23.3,141.0
1723,A Thyagarajan,1,7,1,0,0,0.1,1.0
1724,SJ Massiah,8,127,5,4,2,26.3,159.0
1725,A Bhattarai,16,399,44,11,20,90.3,543.0
1726,Danial Ahmed,11,237,22,2,17,52.4,316.0
1727,D Ruyange,1,26,5,0,0,1.0,6.0
1728,D Duraisingam,8,190,12,7,15,33.2,200.0
1729,JA DeSilva,8,207,24,4,8,36.2,218.0
1730,KE Bashir,4,99,6,5,4,10.2,62.0
1731,T Manders,2,70,9,3,1,7.2,44.0
1732,C Burgess,1,4,0,0,0,0.1,1.0
1733,Suleman,1,15,2,0,0,1.4,10.0
1734,PLS Gamage,5,208,31,0,2,32.1,193.0
1735,S Randiv,56,3165,231,66,98,809.2,4856.0
1736,AT Rayudu,7,108,9,3,3,16.0,96.0
1737,RL Grundy,13,336,35,1,13,58.2,350.0
1738,CJ Metcalfe,20,512,59,7,25,112.4,676.0
1739,EJ Tice,12,260,17,4,7,39.3,237.0
1740,LK O'Reilly,25,451,42,1,25,102.1,613.0
1741,IMHC Joyce,31,640,58,4,30,146.4,880.0
1742,LN McCarthy,16,345,34,1,12,84.0,504.0
1743,S van Zyl,9,146,17,1,6,57.3,345.0
1744,AD Hales,1,2,0,0,0,0.3,3.0
1745,AM Guruge,25,771,76,21,39,120.4,724.0
1746,Amjad Javed,50,1337,132,37,57,215.1,1291.0
1747,Mohammad Tauqir,14,401,29,7,12,77.5,467.0
1748,Salman Farooq,1,22,0,0,0,1.1,7.0
1749,MGMCP Gunawardene,4,72,6,0,3,7.5,47.0
1750,Naila Nazir,1,14,0,0,0,1.1,7.0
1751,MJ Clarke,134,2752,164,43,75,697.5,4187.0
1752,AR Cusack,67,1647,147,34,80,293.5,1763.0
1753,I Wardlaw,20,843,109,14,35,137.3,825.0
1754,RM Haq,41,1220,76,37,54,239.4,1438.0
1755,MW Machan,20,466,23,16,12,72.0,432.0
1756,Hassan Ibrahim,3,65,6,2,3,5.5,35.0
1757,Ahmed Ameel,2,41,4,2,1,1.4,10.0
1758,Afzal Faiz,2,47,2,5,0,1.2,8.0
1759,Imran ullah Gul,1,26,2,1,1,0.4,4.0
1760,Hammad Saeed,3,49,5,1,2,4.4,28.0
1761,Shoaib Ali,4,116,5,10,16,11.2,68.0
1762,Mohammad Afzal,3,61,4,1,4,9.1,55.0
1763,Khalid Butt,3,87,9,4,4,6.4,40.0
1764,Kashif Sharif,3,85,2,6,4,8.4,52.0
1765,Sibtain Raza,3,72,6,2,8,8.3,51.0
1766,Bilal Ahmed,3,78,5,2,4,8.0,48.0
1767,Muhammad Saeed,1,8,1,0,0,0.1,1.0
1768,Shunan Ali,1,14,1,1,0,0.2,2.0
1769,Adnan Liaquat,1,20,2,0,0,0.5,5.0
1770,KJ Coetzer,6,134,10,2,2,20.3,123.0
1771,L Klazinga,10,211,26,5,7,29.4,178.0
1772,G Snyman,19,577,32,15,29,142.0,852.0
1773,E Asoyo,1,48,6,0,2,2.1,13.0
1774,MO Ndandason,1,33,4,1,0,1.1,7.0
1775,JL Bhimji,1,29,4,0,0,1.0,6.0
1776,JO Ngoche,20,499,48,7,19,117.2,704.0
1777,SS Dhindsa,8,236,32,3,9,36.4,220.0
1778,Rizwan Cheema,32,840,72,16,17,135.5,815.0
1779,PA Desai,9,281,25,6,16,54.3,327.0
1780,Mudassar Bukhari,61,1532,168,25,89,305.1,1831.0
1781,MJG Rippon,33,857,59,28,53,173.4,1042.0
1782,Ahsan Malik,45,1193,94,35,76,201.1,1207.0
1783,P Ochan,10,240,23,8,9,43.0,258.0
1784,BL Kotze,1,33,3,0,3,1.4,10.0
1785,NN Odhiambo,55,1553,198,25,56,269.1,1615.0
1786,AS Hansra,25,527,44,7,13,83.5,503.0
1787,PW Borren,53,1275,96,25,34,219.0,1314.0
1788,SJ Myburgh,2,24,3,0,0,1.2,8.0
1789,CF Snyman,4,102,8,5,2,9.5,59.0
1790,MB van Schelven,4,44,5,0,3,8.3,51.0
1791,D Soraine,3,54,5,1,1,9.3,57.0
1792,JK Kamande,22,636,57,9,21,129.0,774.0
1793,AM Phangiso,34,1164,77,43,48,229.1,1375.0
1794,E Leie,2,47,2,3,4,3.4,22.0
1795,Mohammad Shahid,5,308,40,2,6,90.1,541.0
1796,SR Harmer,5,588,69,7,20,162.1,973.0
1797,L Lee,4,61,7,0,3,16.4,100.0
1798,Iram Javed,8,71,8,0,2,12.5,77.0
1799,PP Ojha,137,6444,535,164,247,1765.1,10591.0
1800,JA Morkel,176,4741,494,108,171,734.0,4404.0
1801,DJ Muthuswami,6,101,14,3,4,11.3,69.0
1802,IC Pandey,24,584,77,17,19,74.5,449.0
1803,Karanveer Singh,9,312,19,19,14,32.1,193.0
1804,PV Tambe,33,834,64,28,28,109.5,659.0
1805,AN Ahmed,17,467,43,20,15,57.0,342.0
1806,P Suyal,5,140,16,5,2,15.2,92.0
1807,R Dhawan,29,800,68,19,22,112.1,673.0
1808,A Ashish Reddy,20,386,26,20,19,44.1,265.0
1809,RG More,2,57,5,1,1,2.5,17.0
1810,Iqbal Abdulla,48,1083,88,37,45,153.5,923.0
1811,Shivam Sharma,5,165,9,10,4,16.3,99.0
1812,R Bhatia,91,1986,120,68,82,275.1,1651.0
1813,Gurkeerat Singh,9,161,12,5,6,21.1,127.0
1814,AB Dinda,97,2819,334,68,113,396.2,2378.0
1815,GH Worker,2,23,3,0,1,1.3,9.0
1816,Imrul Kayes,4,12,1,0,0,3.1,19.0
1817,J Mubarak,8,77,3,3,2,10.3,63.0
1818,SS Pathirana,17,664,40,21,17,111.1,667.0
1819,B Fernando,2,63,2,4,3,4.4,28.0
1820,BV Vitori,35,1705,218,20,50,356.3,2139.0
1821,CJ Chibhabha,72,1840,173,42,53,330.0,1980.0
1822,T Mupariwa,25,972,83,22,32,191.1,1147.0
1823,S Dhawan,11,83,9,3,4,16.2,98.0
1824,WT Gavera,22,605,61,13,24,104.1,625.0
1825,JB Reva,23,666,53,15,30,130.5,785.0
1826,MD Dai,31,879,55,27,28,199.4,1198.0
1827,MR Swart,30,558,48,13,22,95.5,575.0
1828,N Niranjana,20,519,63,3,29,130.2,782.0
1829,GA Guy,1,19,4,0,0,0.4,4.0
1830,MJG Nielsen,34,702,74,10,40,177.2,1064.0
1831,KE Broadmore,7,140,14,1,3,25.1,151.0
1832,J Davidson,4,77,12,1,4,7.5,47.0
1833,H Shahid,5,116,11,1,9,16.4,100.0
1834,Umair Ali,4,109,9,2,3,16.4,100.0
1835,AW Kay,6,130,10,3,8,18.2,110.0
1836,B Kynman,11,312,38,3,16,61.0,366.0
1837,RJG Palmer,10,266,13,10,5,44.2,266.0
1838,Anas Khan,1,14,0,2,0,0.1,1.0
1839,JK Mukhiya,15,294,25,6,19,43.2,260.0
1840,JH Patel,3,46,8,0,3,4.3,27.0
1841,JW Jenner,5,99,7,3,2,15.3,93.0
1842,Nasir Aziz,17,628,43,19,24,114.2,686.0
1843,L Nou,5,200,23,2,6,39.4,238.0
1844,Naseer Jamali,3,36,2,0,4,8.5,53.0
1845,S Lohani,1,21,3,0,0,0.3,3.0
1846,G Malla,1,4,1,0,0,0.1,1.0
1847,P Raho,6,107,8,3,7,13.5,83.0
1848,NRP Scholtz,16,360,24,9,13,76.4,460.0
1849,Anshuman Rath,23,489,37,16,26,104.2,626.0
1850,GLB Lamplough,1,12,2,0,0,0.1,1.0
1851,CW Coombe,3,88,9,2,2,8.5,53.0
1852,Waqas Khan,3,52,5,2,1,2.5,17.0
1853,K Saesong,2,29,3,0,0,2.4,16.0
1854,S Lateh,6,58,3,1,3,13.1,79.0
1855,RA Lewis,9,103,11,0,8,18.3,111.0
1856,ELT de Lange,8,140,11,1,3,24.0,144.0
1857,CC van Slobbe,6,116,12,0,6,21.1,127.0
1858,EE Corder,3,45,5,0,0,6.3,39.0
1859,T Mlilo,3,37,2,0,0,6.2,38.0
1860,C Chatonzwa,8,130,7,1,8,27.1,163.0
1861,CS Mugeri,7,98,4,2,5,17.1,103.0
1862,L Yingying,3,59,4,0,3,9.0,54.0
1863,SM Mayers,3,34,3,0,4,5.3,33.0
1864,P Siaka,6,90,9,0,10,27.3,165.0
1865,K Seura,4,26,2,0,2,7.1,43.0
1866,N Ovasuru,7,155,16,0,7,31.0,186.0
1867,K Anderson,6,95,6,0,6,22.4,136.0
1868,CJ Erkelens,3,23,2,0,3,5.3,33.0
1869,M Veringmeier,3,19,2,0,1,3.1,19.0
1870,B Tau,1,3,0,0,0,0.1,1.0
1871,C Appel,2,16,2,0,1,1.3,9.0
1872,A Karn,6,115,11,3,7,17.1,103.0
1873,T Muzarabani,17,533,67,11,16,82.5,497.0
1874,GJ McCarter,2,68,8,0,0,8.3,51.0
1875,JA Warrican,4,509,33,8,11,98.4,592.0
1876,L Cheatle,7,156,21,1,6,29.2,176.0
1877,Sneh Rana,1,40,6,0,0,1.2,8.0
1878,CJ Simmons,6,87,9,1,3,13.2,80.0
1879,GL Walker,1,45,4,4,0,0.5,5.0
1880,TL Lawford,6,139,13,4,3,12.5,77.0
1881,CAH Stevenson,3,69,10,1,2,5.2,32.0
1882,JH Kallis,253,7499,817,111,246,1746.0,10476.0
1883,LW Feldman,12,308,31,7,14,40.2,242.0
1884,JK Reed,9,259,36,7,13,24.5,149.0
1885,HP Kingston,5,130,11,6,4,11.0,66.0
1886,GD Putland,7,179,15,8,3,19.5,119.0
1887,CA Pujara,1,2,0,0,0,0.1,1.0
1888,NE Farrant,4,63,9,0,6,11.5,71.0
1889,D Devnarain,7,100,11,2,0,12.5,77.0
1890,O Kirsten,5,139,18,2,7,30.5,185.0
1891,Y Punja,2,82,8,2,1,8.0,48.0
1892,L Sreekumar,1,28,3,1,0,1.0,6.0
1893,Asif Iqbal (1),2,76,14,0,4,7.0,42.0
1894,Zaheer Maqsood,4,136,10,4,3,10.4,64.0
1895,V Manakiwai,3,94,12,0,4,15.3,93.0
1896,Imran Khan (3),2,68,3,2,5,11.5,71.0
1897,J Wesele,2,77,7,0,1,5.1,31.0
1898,Riyad Khan,2,59,5,2,2,11.2,68.0
1899,V Yabaki,3,77,4,0,2,13.4,82.0
1900,J Kida,3,114,11,0,5,15.3,93.0
1901,MWR Stokes,8,171,23,0,3,44.1,265.0
1902,OE Newey,8,134,20,1,12,34.3,207.0
1903,W Fazakerley,5,94,9,0,4,22.3,135.0
1904,JAJ Nussbaumer,8,138,12,1,8,41.1,247.0
1905,MLA Ellis,9,244,17,4,15,70.1,421.0
1906,TJ Ravenscroft,5,135,10,2,8,35.4,214.0
1907,N Unavalu,3,79,8,0,4,11.1,67.0
1908,A Wright,1,11,0,0,1,0.3,3.0
1909,RD Bovell,2,37,1,0,2,6.1,37.0
1910,D Crawford,2,59,5,0,4,10.2,62.0
1911,Safir Hayat,2,42,4,0,0,6.3,39.0
1912,Zeeshan Shehzad Siddiqui,2,28,4,0,0,3.4,22.0
1913,Jawad Mir,2,49,2,1,5,10.4,64.0
1914,PK Thangavadivel,2,36,0,2,1,6.4,40.0
1915,BB Bailey,4,82,10,0,4,19.4,118.0
1916,AK Gokoel,4,79,9,1,2,17.0,102.0
1917,MC Patandin,4,155,14,1,14,28.1,169.0
1918,G Singh,4,127,10,1,11,27.5,167.0
1919,SA Drepaul,4,156,8,1,3,28.1,169.0
1920,YP Dayal,4,127,7,5,5,21.1,127.0
1921,JF Rika,1,39,2,0,0,1.4,10.0
1922,Kunaal Kumar,1,6,1,0,0,0.1,1.0
1923,G Smith,1,9,2,0,0,0.1,1.0
1924,R Withey,2,98,8,4,4,12.3,75.0
1925,T Nightingale,3,52,5,1,4,7.3,45.0
1926,Shehraz Khalid,1,33,2,0,0,1.5,11.0
1927,S Dokosobau,1,9,1,0,2,1.2,8.0
1928,WA Haslim,1,26,2,0,1,1.2,8.0
1929,JM Vince,4,13,2,0,0,3.1,19.0
1930,MF Maharoof,94,3172,329,49,129,654.0,3924.0
1931,KMC Bandara,2,93,13,0,1,2.5,17.0
1932,BKG Mendis,3,46,5,0,1,7.4,46.0
1933,Shan Masood,1,18,1,0,0,0.4,4.0
1934,MDUS Jayasundera,1,44,4,0,0,1.2,8.0
1935,J Charles,1,10,0,1,0,0.2,2.0
1936,JN Mohammed,6,108,7,3,0,16.0,96.0
1937,TMM Newton,8,189,19,0,7,42.3,255.0
1938,LM Jongwe,27,857,96,17,33,161.0,966.0
1939,TS Chisoro,16,445,38,10,21,95.4,574.0
1940,Adnan Ilyas,2,35,5,0,1,2.5,17.0
1941,Bikram Sob,1,29,3,0,1,1.1,7.0
1942,Rokhan Barakzai,2,63,5,1,4,11.0,66.0
1943,ADS Fletcher,3,26,2,0,0,4.4,28.0
1944,D Olivier,1,56,9,0,5,3.1,19.0
1945,ST de Silva,1,10,2,0,0,0.1,1.0
1946,RJ Campbell,3,67,6,1,4,6.5,41.0
