Batsmen,Matches,Runs,Wickets,Balls,0,4,6,Strike Rate,Average,50,100,High Score
GC Wilson,126,2481,107,3105,10,216,28,79.90338164251207,23.186915887850468,13,0,80
KJ O'Brien,155,3615,132,3872,10,332,98,93.36260330578513,27.386363636363637,14,3,158
SR Thompson,35,519,28,624,1,48,14,83.17307692307692,18.535714285714285,2,0,56
GH Dockrell,64,590,38,904,4,41,7,65.26548672566372,15.526315789473685,1,0,64
TJ Murtagh,34,305,20,405,3,31,4,75.30864197530865,15.25,1,0,81
PKD Chase,12,31,9,54,6,2,1,57.407407407407405,3.4444444444444446,0,0,14
JJ Roy,121,3909,113,3553,8,458,99,110.01970166056853,34.5929203539823,31,7,162
JE Root,195,10685,162,15506,4,1057,69,68.90880949309944,65.95679012345678,84,31,325
AD Hales,130,4179,121,4607,10,470,98,90.70978945083569,34.53719008264463,28,7,171
JM Bairstow,116,5012,97,7164,6,545,81,69.9609156895589,51.670103092783506,38,11,199
Shadab Khan,28,287,18,346,3,21,9,82.94797687861272,15.944444444444445,1,0,59
VR Aaron,20,92,8,188,4,7,2,48.93617021276596,11.5,0,0,17
SN Thakur,7,36,4,21,3,5,1,171.42857142857142,9.0,0,0,15
NV Ojha,98,1623,76,1514,9,130,79,107.19947159841479,21.355263157894736,7,0,94
Bipul Sharma,17,187,6,124,0,11,9,150.80645161290323,31.166666666666668,0,0,35
Rashid Khan,83,911,60,820,11,74,46,111.09756097560975,15.183333333333334,3,0,75
B Kumar,94,839,61,1455,18,102,6,57.66323024054983,13.754098360655737,3,1,121
S Kaul,7,12,3,28,3,0,0,42.857142857142854,4.0,0,0,7
Imran Ali Butt,1,0,1,4,1,0,0,0.0,0.0,0,0,0
Mohammed Sameer,1,19,1,16,0,1,2,118.75,19.0,0,0,19
J Chaturanga,4,131,4,179,0,9,6,73.18435754189944,32.75,1,0,88
Azeem ul Haq,4,38,4,85,1,2,0,44.705882352941174,9.5,0,0,20
GSPR Arachchige,1,1,1,2,0,0,0,50.0,1.0,0,0,1
Muhammad Rafeh,1,4,1,4,0,1,0,100.0,4.0,0,0,4
Tahir Dar,1,68,1,105,0,6,4,64.76190476190476,68.0,1,0,68
Muhammad Safdar,1,8,1,40,0,1,0,20.0,8.0,0,0,8
Junaid Aziz,1,27,1,66,0,2,1,40.90909090909091,27.0,0,0,27
Bilal Mansoor,1,5,1,15,0,0,0,33.333333333333336,5.0,0,0,5
Kumar Subba,3,5,3,27,2,0,0,18.51851851851852,1.6666666666666667,0,0,5
T Wangchuk,5,11,4,45,2,1,0,24.444444444444443,2.75,0,0,7
K Norbu,1,11,1,63,0,0,0,17.46031746031746,11.0,0,0,11
T Jamtsho,5,106,4,173,1,10,2,61.27167630057804,26.5,0,0,42
S Tobgay,6,161,6,326,0,19,1,49.38650306748466,26.833333333333332,1,0,55
S Pradhan,7,48,7,118,2,5,0,40.67796610169491,6.857142857142857,0,0,31
DS Gurung,1,2,1,9,0,0,0,22.22222222222222,2.0,0,0,2
R Pradhan,1,0,1,4,1,0,0,0.0,0.0,0,0,0
